epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,686.28,0.81898,1.50011,0.95406,0.70074,0.75007,0.77032,0.64588,0.66331,0.85964,0.90389,0.00016233,0.00016233,0.00016233
2,1331.54,0.71986,0.85612,0.92333,0.77897,0.79376,0.82869,0.70187,0.61222,0.73586,0.89079,0.000292551,0.000292551,0.000292551
3,2015.66,0.68907,0.76768,0.9154,0.83665,0.81271,0.85757,0.73868,0.57686,0.6458,0.88205,0.00036491,0.00036491,0.00036491
4,2684.03,0.65941,0.68977,0.90528,0.8603,0.84151,0.88458,0.76992,0.558,0.59767,0.87308,0.000319865,0.000319865,0.000319865
5,3318.13,0.62487,0.61854,0.89732,0.88453,0.84975,0.90127,0.79316,0.52328,0.54493,0.86442,0.00027482,0.00027482,0.00027482
6,3948.67,0.59296,0.56352,0.88959,0.90761,0.87112,0.92242,0.81945,0.49965,0.49394,0.85983,0.000229775,0.000229775,0.000229775
7,4582.87,0.56936,0.52059,0.88248,0.90698,0.88815,0.93321,0.83579,0.48056,0.4542,0.85499,0.00018473,0.00018473,0.00018473
8,5240.19,0.54823,0.48179,0.87703,0.92532,0.89342,0.9434,0.85073,0.46572,0.42553,0.85078,0.000139685,0.000139685,0.000139685
9,5686.48,0.52936,0.44581,0.87088,0.92811,0.89387,0.94861,0.85773,0.45235,0.4046,0.84746,9.464e-05,9.464e-05,9.464e-05
10,6132.5,0.5085,0.41502,0.86642,0.93433,0.91449,0.9581,0.87253,0.43868,0.37283,0.84354,4.9595e-05,4.9595e-05,4.9595e-05
