fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.0,0.01078,0.01078,0.98,0.00052,3.00456,0.86156,6.11478,0.4162,1.98739,0.01625,0.51529,0.35484,0.0,0.074,0.5,0.0,0.0,0.0,0.59249,0.0,0.99857,0.0,0.0,0.0
0.0,0.01055,0.01037,0.93086,0.00061,2.46141,0.86156,6.61961,0.33487,1.99365,0.01573,0.51529,0.36706,0.0,0.06471,0.4293,0.0,0.0,0.0,0.59249,0.0,1.0,0.0,0.0,0.0
0.0,0.01,0.01031,0.937,0.00049,3.25394,0.78251,7.37012,0.48735,1.38608,0.01861,0.68504,0.42209,0.0,0.1,0.56767,0.0,0.0,0.0,0.44072,0.0,1.0,0.0,0.0,0.0
0.0,0.00998,0.01033,0.93641,0.00049,3.25544,0.78083,7.39586,0.48958,1.38986,0.0187,0.68745,0.42063,0.0,0.09896,0.57103,0.0,0.0,0.0,0.44387,0.0,1.0,0.0,0.0,0.0
0.0,0.00966,0.01031,0.937,0.00051,3.1054,0.78251,6.82805,0.53279,1.32194,0.02054,0.68504,0.42209,0.0,0.08553,0.57357,0.0,0.0,0.0,0.41683,0.0,0.99594,0.0,0.0,0.0
0.0,0.01055,0.00989,0.91843,0.00058,2.51637,0.80603,6.49675,0.37031,2.07839,0.01445,0.56076,0.36706,0.0,0.07167,0.38307,0.0,0.0,0.0,0.58344,0.0,1.0,0.0,0.0,0.0
0.0,0.01175,0.0092,0.91552,0.00055,3.01444,0.71037,6.3996,0.51299,1.3759,0.01529,0.63277,0.45977,0.0,0.10328,0.44327,0.0,0.0,0.0,0.48058,0.0,1.0,0.0,0.0,0.0
0.0,0.01032,0.01046,0.92626,0.00052,3.2702,0.78251,7.2854,0.51852,1.34488,0.01904,0.66788,0.42091,0.0,0.09995,0.57269,0.0,0.0,0.0,0.434,0.0,0.93199,0.0,0.0,0.0
0.0,0.01,0.01043,0.94157,0.0006,2.89484,0.73712,9.42484,0.42517,1.39338,0.01861,0.68872,0.36281,0.0,0.1,0.4983,0.0,0.0,0.0,0.37848,0.0,1.0,0.0,0.0,0.0
0.0,0.01,0.00957,0.92992,0.00048,3.25394,0.76242,7.59586,0.49854,1.46613,0.01885,0.72129,0.37254,0.0,0.1,0.56767,0.0,0.0,0.0,0.40718,0.0,0.99942,0.0,0.0,0.0
0.0,0.01055,0.01094,0.91645,0.00064,2.4347,0.78428,6.61961,0.33487,1.99365,0.01573,0.54129,0.36541,0.0,0.06592,0.4293,0.0,0.0,0.0,0.57433,0.0,0.99404,0.0,0.0,0.0
0.0,0.01105,0.01054,0.95275,0.00052,3.00456,0.86156,6.11478,0.36587,1.76313,0.01417,0.51529,0.35484,0.0,0.074,0.44777,0.0,0.0,0.0,0.74374,0.0,0.99857,0.0,0.0,0.0
0.0,0.01,0.01,0.96661,0.0005,2.56617,0.8,7.91956,0.43526,1.5,0.01735,0.61111,0.33707,0.0,0.10944,0.42254,0.0,0.0,0.0,0.47914,0.0,0.83131,0.0,0.0,0.0
0.0,0.0096,0.01004,0.96976,0.00054,3.0,0.74906,7.40803,0.44945,1.83962,0.01525,0.7,0.39444,0.0,0.11259,0.66228,0.0,0.0,0.0,0.39157,0.0,1.0,0.0,0.0,0.0
0.0,0.01,0.01017,0.93482,0.0005,3.0002,0.78479,7.44922,0.50304,1.54369,0.01479,0.68727,0.39605,0.0,0.10025,0.48969,0.0,0.0,0.0,0.4855,0.0,0.97311,0.0,0.0,0.0
0.0,0.00971,0.01032,0.89902,0.00063,2.55626,0.85153,6.23939,0.32555,1.83003,0.01703,0.51529,0.36215,0.0,0.06253,0.4147,0.0,0.0,0.0,0.6577,0.0,1.0,0.0,0.0,0.0
0.0,0.00761,0.00608,0.98,0.00048,3.40713,0.95,7.9793,0.50523,1.38986,0.02063,0.80078,0.38143,0.0,0.10262,0.61644,0.0,0.0,0.0,0.44387,0.0,0.84379,0.0,0.0,0.0
0.0,0.01106,0.01078,0.98,0.00052,3.16534,0.86143,6.22116,0.41538,2.03882,0.0158,0.51927,0.35596,0.0,0.07444,0.48554,0.0,0.0,0.0,0.59249,0.0,1.0,0.0,0.0,0.0
0.0,0.00998,0.01065,0.92861,0.00049,3.25544,0.76384,7.68637,0.46529,1.39604,0.01885,0.69532,0.43817,0.0,0.1074,0.59923,0.0,0.0,0.0,0.46368,0.0,1.0,0.0,0.0,0.0
0.0,0.0121,0.01048,0.93086,0.00063,2.10287,0.86156,6.80492,0.38005,1.95556,0.01467,0.47762,0.39802,0.0,0.06269,0.4293,0.0,0.0,0.0,0.68664,0.0,1.0,0.0,0.0,0.0
0.0,0.01078,0.01077,0.97994,0.00052,3.00537,0.86488,6.09615,0.41543,1.98874,0.0163,0.51529,0.35484,0.0,0.07417,0.5006,0.0,0.0,0.0,0.59249,0.0,0.99857,0.0,0.0,0.0
0.0,0.00991,0.00954,0.94324,0.00048,3.06379,0.8,7.62641,0.48961,1.5,0.015,0.68536,0.40782,0.0,0.09643,0.4986,0.0,0.0,0.0,0.51796,0.0,1.0,0.0,0.0,0.0
0.0,0.00875,0.01039,0.97599,0.00058,3.00456,0.86156,5.93047,0.39383,1.98739,0.01649,0.54174,0.31592,0.0,0.07557,0.51133,0.0,0.0,0.0,0.57197,0.0,1.0,0.0,0.0,0.0
0.0,0.00999,0.01033,0.93641,0.00049,3.25544,0.77939,7.38712,0.49082,1.38702,0.0187,0.68719,0.42063,0.0,0.09935,0.57224,0.0,0.0,0.0,0.44355,0.0,1.0,0.0,0.0,0.0
0.0,0.01,0.01031,0.98,0.00035,3.59388,0.78251,6.54314,0.56333,1.31518,0.01861,0.61079,0.41579,0.0,0.1,0.68445,0.0,0.0,0.0,0.4659,0.0,1.0,0.0,0.0,0.0
0.0,0.00993,0.01044,0.94017,0.00049,3.3765,0.78251,7.44445,0.48027,1.26432,0.01868,0.67206,0.39164,0.0,0.10078,0.56767,0.0,0.0,0.0,0.4355,0.0,1.0,0.0,0.0,0.0
0.0,0.01,0.01031,0.94123,0.00049,3.17632,0.78832,7.60754,0.47578,1.36717,0.01861,0.68504,0.40933,0.0,0.09789,0.56779,0.0,0.0,0.0,0.44072,0.0,1.0,0.0,0.0,0.0
0.0,0.01003,0.01137,0.95067,0.00078,2.70816,0.86156,6.41603,0.30754,1.97123,0.01573,0.60949,0.30729,0.0,0.0618,0.44292,0.0,0.0,0.0,0.65345,0.0,1.0,0.0,0.0,0.0
0.0,0.00984,0.00842,0.937,0.00039,3.00151,0.85143,7.42599,0.57256,1.36318,0.01739,0.72483,0.39728,0.0,0.10238,0.65446,0.0,0.0,0.0,0.37011,0.0,1.0,0.0,0.0,0.0
0.0,0.01079,0.01119,0.90032,0.00053,3.57212,0.78083,7.37958,0.45272,1.38986,0.01975,0.72754,0.42063,0.0,0.09601,0.57103,0.0,0.0,0.0,0.53855,0.0,1.0,0.0,0.0,0.0
0.0,0.01065,0.01028,0.937,0.00048,3.24508,0.78978,7.37012,0.46536,1.4346,0.01861,0.65077,0.42209,0.0,0.09649,0.59393,0.0,0.0,0.0,0.44072,0.0,0.95099,0.0,0.0,0.0
0.0,0.01034,0.01037,0.94038,0.00063,2.51835,0.86156,6.61961,0.33487,1.93817,0.01573,0.51529,0.37918,0.0,0.06278,0.41773,0.0,0.0,0.0,0.62326,0.0,1.0,0.0,0.0,0.0
0.0,0.01007,0.01033,0.93037,0.00049,3.31655,0.78083,7.21725,0.47393,1.38986,0.01822,0.68362,0.41981,0.0,0.09553,0.56047,0.0,0.0,0.0,0.44863,0.0,1.0,0.0,0.0,0.0
0.0,0.01026,0.01108,0.93086,0.00061,2.35753,0.91787,6.5883,0.34689,1.94006,0.01573,0.51529,0.36171,0.0,0.06289,0.42974,0.0,0.0,0.0,0.60242,0.0,0.96931,0.0,0.0,0.0
0.0,0.01098,0.01095,0.95035,0.00053,2.96874,0.86322,5.72229,0.4162,2.09181,0.01714,0.51615,0.35006,0.0,0.07644,0.49397,0.0,0.0,0.0,0.60096,0.0,0.98331,0.0,0.0,0.0
0.0,0.01135,0.01227,0.98,0.00051,2.79356,0.87374,6.12546,0.41192,1.8567,0.01625,0.46315,0.36079,0.0,0.06396,0.49563,0.0,0.0,0.0,0.59249,0.0,0.99328,0.0,0.0,0.0
0.0,0.00873,0.01017,0.92227,0.00056,2.84873,0.86156,7.46362,0.3555,1.80228,0.01709,0.57197,0.41631,0.0,0.06901,0.46214,0.0,0.0,0.0,0.68775,0.0,1.0,0.0,0.0,0.0
0.0,0.01063,0.01092,0.97893,0.00052,2.98667,0.84547,6.11478,0.4135,1.97626,0.01625,0.50121,0.35695,0.0,0.07489,0.50553,0.0,0.0,0.0,0.59172,0.0,0.97363,0.0,0.0,0.0
