epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,790.992,1.23066,3.20804,1.7611,0.64401,0.52738,0.57031,0.39968,0.76527,2.19043,1.25901,0.0719596,0.00343737,0.00343737
2,1536.99,0.77455,2.02159,1.249,0.6934,0.66034,0.69227,0.54313,0.57652,1.69621,1.06488,0.0438733,0.00684228,0.00684228
3,2278.48,0.67474,1.71643,1.1402,0.76435,0.67634,0.7455,0.6073,0.50612,1.39051,0.99867,0.015753,0.0102132,0.0102132
4,3019.08,0.63648,1.57023,1.09669,0.766,0.72106,0.77346,0.64437,0.45528,1.27817,0.94496,0.0107583,0.0107583,0.0107583
5,3758.87,0.6062,1.46706,1.06323,0.7282,0.78927,0.79909,0.66851,0.45566,1.16178,0.9297,0.0107044,0.0107044,0.0107044
6,4498.68,0.57997,1.36747,1.03914,0.74012,0.78462,0.80925,0.68501,0.42744,1.1159,0.91418,0.0106505,0.0106505,0.0106505
7,5239.25,0.57362,1.30762,1.03064,0.80317,0.8156,0.84453,0.72963,0.40274,0.98168,0.89063,0.0105966,0.0105966,0.0105966
8,5978.41,0.56108,1.26321,1.0181,0.82956,0.82468,0.86103,0.74842,0.38786,0.92422,0.88352,0.0105428,0.0105428,0.0105428
9,6717.93,0.54884,1.22935,1.00776,0.81922,0.82407,0.85865,0.74952,0.38085,0.99119,0.87626,0.0104889,0.0104889,0.0104889
10,7458.1,0.54288,1.19421,0.99868,0.8476,0.83547,0.88076,0.77157,0.38189,0.85887,0.87146,0.010435,0.010435,0.010435
11,8197.97,0.53144,1.15127,0.98683,0.85134,0.84106,0.88687,0.77586,0.3718,0.86704,0.86508,0.0103811,0.0103811,0.0103811
12,8977.07,0.53572,1.12607,0.98868,0.87463,0.85724,0.90083,0.79885,0.36001,0.78644,0.85652,0.0103272,0.0103272,0.0103272
13,9729.32,0.52121,1.09749,0.97371,0.87459,0.86524,0.90716,0.80675,0.35261,0.76755,0.84632,0.0102733,0.0102733,0.0102733
14,10553.8,0.515,1.05362,0.96676,0.89075,0.86912,0.91505,0.81831,0.34453,0.73028,0.84092,0.0102194,0.0102194,0.0102194
15,11304.2,0.51604,1.05115,0.96538,0.90886,0.87665,0.92617,0.82574,0.34371,0.69411,0.84349,0.0101655,0.0101655,0.0101655
16,12107.9,0.51443,1.0331,0.96233,0.91549,0.88771,0.9348,0.83943,0.3346,0.66802,0.83251,0.0101116,0.0101116,0.0101116
17,12859.3,0.5116,1.01377,0.95565,0.91307,0.89345,0.9349,0.84074,0.33327,0.64435,0.83094,0.0100577,0.0100577,0.0100577
18,13600.9,0.5075,1.00069,0.95413,0.91715,0.89642,0.93903,0.84603,0.32915,0.63634,0.82784,0.0100038,0.0100038,0.0100038
19,14341,0.5078,0.99109,0.95249,0.91726,0.90262,0.94397,0.85416,0.32274,0.61752,0.82321,0.00994994,0.00994994,0.00994994
20,15083.7,0.50107,0.9721,0.94576,0.92822,0.91127,0.9522,0.86573,0.31458,0.5914,0.81609,0.00989604,0.00989604,0.00989604
21,15948.3,0.50376,0.96139,0.94552,0.93371,0.91287,0.95448,0.86573,0.31897,0.57775,0.82049,0.00984215,0.00984215,0.00984215
22,16721,0.49352,0.93512,0.93603,0.92979,0.91322,0.95529,0.87121,0.30921,0.56572,0.81205,0.00978826,0.00978826,0.00978826
23,17464.7,0.49339,0.93727,0.93715,0.93425,0.9149,0.95644,0.87263,0.30786,0.55756,0.81212,0.00973437,0.00973437,0.00973437
24,18315.6,0.49469,0.91973,0.93601,0.94002,0.9272,0.96363,0.8807,0.30331,0.52893,0.80885,0.00968048,0.00968048,0.00968048
25,19533.7,0.49269,0.9177,0.93411,0.94744,0.92697,0.96552,0.88391,0.30329,0.52804,0.80767,0.00962658,0.00962658,0.00962658
26,20544.2,0.4842,0.89935,0.92781,0.93985,0.93271,0.96594,0.88568,0.29819,0.52305,0.80497,0.00957269,0.00957269,0.00957269
27,21287.7,0.48596,0.8918,0.92908,0.94859,0.93268,0.96739,0.88908,0.29598,0.51034,0.80221,0.0095188,0.0095188,0.0095188
28,22045.9,0.48338,0.89119,0.926,0.94438,0.93519,0.96929,0.89292,0.29424,0.50492,0.80048,0.00946491,0.00946491,0.00946491
29,23490.2,0.48325,0.87557,0.92462,0.95117,0.93883,0.97175,0.89461,0.29273,0.48732,0.80021,0.00941101,0.00941101,0.00941101
30,25152.6,0.48177,0.87193,0.92349,0.9535,0.93882,0.97292,0.89706,0.2911,0.48352,0.7989,0.00935712,0.00935712,0.00935712
31,26769,0.48162,0.86499,0.92344,0.95636,0.9409,0.97419,0.89963,0.28933,0.47944,0.79754,0.00930323,0.00930323,0.00930323
32,28380.7,0.47868,0.85558,0.92004,0.95578,0.94463,0.97528,0.90075,0.28788,0.46973,0.79656,0.00924934,0.00924934,0.00924934
33,29939.1,0.47708,0.84722,0.92029,0.95658,0.94253,0.97606,0.90216,0.28545,0.4644,0.79387,0.00919544,0.00919544,0.00919544
34,31483.1,0.47492,0.84938,0.91888,0.95922,0.94472,0.97676,0.90362,0.28415,0.45625,0.79329,0.00914155,0.00914155,0.00914155
