epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1741.24,1.23066,3.20804,1.7611,0.64401,0.52738,0.57031,0.39968,0.76527,2.19043,1.25901,0.0719596,0.00343737,0.00343737
2,3468.47,0.77572,2.02863,1.25045,0.71784,0.65796,0.6968,0.55094,0.56579,1.61349,1.05602,0.0438846,0.00685359,0.00685359
3,5125.25,0.67735,1.7281,1.14025,0.74316,0.69359,0.74464,0.60552,0.49563,1.42141,0.98026,0.0157869,0.0102472,0.0102472
4,6783.59,0.6387,1.58161,1.09555,0.75556,0.7655,0.78392,0.6596,0.46015,1.20926,0.9457,0.0108122,0.0108122,0.0108122
5,8414.77,0.60845,1.47108,1.06282,0.75343,0.79873,0.8104,0.6885,0.43512,1.09029,0.91802,0.0107763,0.0107763,0.0107763
6,9888.76,0.58347,1.37526,1.03666,0.73683,0.8026,0.8091,0.69423,0.42067,1.08996,0.90441,0.0107404,0.0107404,0.0107404
7,11608.1,0.57111,1.30825,1.02308,0.77197,0.81876,0.83535,0.72417,0.39963,1.02696,0.89217,0.0107044,0.0107044,0.0107044
8,13376.1,0.55674,1.26082,1.01058,0.80586,0.81103,0.85355,0.7414,0.38924,0.98202,0.88208,0.0106685,0.0106685,0.0106685
9,15031.5,0.55777,1.24147,1.00812,0.80529,0.82164,0.85696,0.73961,0.39204,0.95342,0.88483,0.0106326,0.0106326,0.0106326
10,16736.9,0.54284,1.19304,0.99234,0.85065,0.84472,0.88278,0.77614,0.37744,0.84596,0.86776,0.0105966,0.0105966,0.0105966
11,18444.4,0.53899,1.16895,0.98722,0.83241,0.84067,0.88069,0.76999,0.37488,0.86642,0.86914,0.0105607,0.0105607,0.0105607
12,20081.7,0.53429,1.12234,0.98055,0.86018,0.86334,0.89868,0.79527,0.35949,0.78739,0.85219,0.0105248,0.0105248,0.0105248
13,21733.6,0.52558,1.10454,0.97234,0.86939,0.85758,0.90097,0.79558,0.35895,0.78596,0.85235,0.0104889,0.0104889,0.0104889
14,23445.7,0.5192,1.06719,0.96507,0.87562,0.86372,0.90903,0.80615,0.35472,0.77379,0.84846,0.0104529,0.0104529,0.0104529
15,25155.2,0.51843,1.05293,0.95998,0.90333,0.87861,0.92513,0.82501,0.34787,0.70969,0.84468,0.010417,0.010417,0.010417
16,26809.6,0.52117,1.04547,0.96163,0.90421,0.88676,0.93101,0.83624,0.33618,0.69185,0.83256,0.0103811,0.0103811,0.0103811
17,28523.7,0.51345,1.01759,0.95269,0.90778,0.89123,0.93511,0.83881,0.33612,0.66422,0.83375,0.0103451,0.0103451,0.0103451
18,30232.3,0.50926,1.0107,0.95247,0.9098,0.89724,0.93814,0.84505,0.3297,0.64983,0.82857,0.0103092,0.0103092,0.0103092
19,31901.7,0.51182,0.9963,0.95128,0.91235,0.89717,0.93878,0.84862,0.32689,0.64167,0.82893,0.0102733,0.0102733,0.0102733
20,33599.8,0.5007,0.97372,0.9416,0.92637,0.90623,0.94848,0.85944,0.31922,0.59915,0.82154,0.0102374,0.0102374,0.0102374
