epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,956.249,1.23497,3.17513,1.74039,0.61067,0.48811,0.49648,0.33699,0.78486,2.16566,1.2796,0.0719596,0.00343737,0.00343737
2,1715.21,0.77483,2.03372,1.21591,0.75023,0.60653,0.67546,0.52391,0.53855,1.63822,1.02683,0.0438846,0.00685359,0.00685359
3,2456.48,0.68031,1.73751,1.11059,0.73341,0.66078,0.70922,0.56642,0.51756,1.38521,0.98292,0.0157869,0.0102472,0.0102472
4,3185.06,0.6254,1.54732,1.05133,0.68344,0.77686,0.78321,0.64527,0.45572,1.1681,0.92843,0.0108122,0.0108122,0.0108122
5,3915.78,0.59326,1.42872,1.01615,0.77139,0.76917,0.79984,0.66916,0.43063,1.11403,0.91022,0.0107763,0.0107763,0.0107763
6,4649.78,0.57882,1.35048,1.00064,0.75229,0.78236,0.81617,0.68221,0.42696,1.05093,0.90495,0.0107404,0.0107404,0.0107404
7,5379.81,0.56313,1.29433,0.98774,0.7716,0.79911,0.83368,0.71173,0.40525,1.00681,0.88548,0.0107044,0.0107044,0.0107044
8,6109.36,0.55336,1.24594,0.97986,0.81898,0.78538,0.84814,0.72287,0.40047,0.96822,0.8847,0.0106685,0.0106685,0.0106685
9,6840.74,0.54504,1.21257,0.9718,0.81516,0.83476,0.86401,0.74405,0.38052,0.88339,0.86888,0.0106326,0.0106326,0.0106326
10,7569.28,0.5401,1.17715,0.96477,0.82615,0.84134,0.87158,0.75515,0.38047,0.86149,0.86484,0.0105966,0.0105966,0.0105966
11,8298.15,0.53528,1.15586,0.96147,0.85419,0.85293,0.8938,0.7798,0.36446,0.79813,0.85088,0.0105607,0.0105607,0.0105607
12,9023.64,0.52632,1.11431,0.95328,0.85283,0.84741,0.89565,0.781,0.35724,0.78461,0.84881,0.0105248,0.0105248,0.0105248
13,9747.87,0.52231,1.09909,0.95096,0.85938,0.8572,0.89797,0.78476,0.36201,0.76863,0.85025,0.0104889,0.0104889,0.0104889
14,10476.1,0.52089,1.07086,0.94948,0.88013,0.85959,0.90716,0.79781,0.3525,0.73313,0.84152,0.0104529,0.0104529,0.0104529
15,11198.1,0.51133,1.04548,0.94217,0.8849,0.86848,0.9132,0.80179,0.35358,0.72072,0.84514,0.010417,0.010417,0.010417
16,11924.1,0.5152,1.03649,0.94352,0.89349,0.87319,0.92188,0.8144,0.33737,0.68007,0.83288,0.0103811,0.0103811,0.0103811
17,12646.6,0.51202,1.02679,0.93863,0.91055,0.88143,0.93152,0.8281,0.33349,0.6464,0.82953,0.0103451,0.0103451,0.0103451
18,13369.2,0.5039,0.99733,0.93567,0.90444,0.89148,0.93604,0.83192,0.33048,0.63115,0.82683,0.0103092,0.0103092,0.0103092
19,14095.7,0.49905,0.97597,0.93054,0.91414,0.88547,0.93448,0.83512,0.32357,0.61813,0.82449,0.0102733,0.0102733,0.0102733
20,14822.5,0.49971,0.97456,0.93422,0.92038,0.89298,0.94103,0.84269,0.32142,0.60033,0.82061,0.0102374,0.0102374,0.0102374
21,15548.1,0.49481,0.959,0.92818,0.91381,0.89497,0.9422,0.84337,0.31819,0.59483,0.81836,0.0102014,0.0102014,0.0102014
22,16283.8,0.49417,0.94702,0.92758,0.92437,0.90188,0.94566,0.85368,0.31056,0.56799,0.81367,0.0101655,0.0101655,0.0101655
23,17018.1,0.49284,0.93915,0.92729,0.92323,0.91268,0.9535,0.85826,0.31299,0.55427,0.81594,0.0101296,0.0101296,0.0101296
24,17740.2,0.49609,0.93706,0.92832,0.93504,0.90313,0.95266,0.86056,0.30973,0.55604,0.81195,0.0100937,0.0100937,0.0100937
25,18463.8,0.49365,0.92872,0.92779,0.93856,0.91624,0.95851,0.86846,0.30643,0.53224,0.81032,0.0100577,0.0100577,0.0100577
26,19192.6,0.48894,0.912,0.92288,0.94214,0.91903,0.96211,0.87271,0.30351,0.51762,0.80768,0.0100218,0.0100218,0.0100218
27,19915.6,0.48713,0.90441,0.92195,0.94367,0.91751,0.96219,0.87409,0.30167,0.51522,0.80755,0.00998587,0.00998587,0.00998587
28,20651.7,0.48741,0.89914,0.92216,0.94466,0.9266,0.96669,0.87957,0.2989,0.49574,0.80491,0.00994994,0.00994994,0.00994994
29,21375.9,0.48524,0.88144,0.92014,0.94615,0.9259,0.96786,0.88242,0.29689,0.49098,0.80291,0.00991401,0.00991401,0.00991401
30,22106.2,0.48415,0.87711,0.91871,0.95095,0.92612,0.96818,0.88275,0.29569,0.48396,0.802,0.00987808,0.00987808,0.00987808
31,22827.5,0.47902,0.87323,0.91493,0.95025,0.93145,0.97087,0.88594,0.29293,0.47564,0.80013,0.00984215,0.00984215,0.00984215
32,23551.2,0.48145,0.86211,0.91705,0.95019,0.93764,0.97271,0.8887,0.2908,0.46732,0.79815,0.00980622,0.00980622,0.00980622
33,24272.8,0.4787,0.86455,0.91461,0.94977,0.93463,0.97294,0.89006,0.28965,0.46517,0.79776,0.0097703,0.0097703,0.0097703
34,24995.9,0.47841,0.85482,0.91598,0.95665,0.93727,0.97566,0.89214,0.28801,0.45404,0.79702,0.00973437,0.00973437,0.00973437
35,25717.6,0.47738,0.85722,0.9139,0.95844,0.93553,0.97594,0.89425,0.2865,0.45161,0.79544,0.00969844,0.00969844,0.00969844
36,26437.5,0.47377,0.83641,0.91174,0.9573,0.93905,0.97661,0.89686,0.28502,0.44428,0.79411,0.00966251,0.00966251,0.00966251
37,27175.2,0.47426,0.84174,0.91366,0.95558,0.94325,0.9773,0.89797,0.28408,0.43913,0.79417,0.00962658,0.00962658,0.00962658
38,27897.6,0.47355,0.82784,0.91195,0.96416,0.93971,0.97826,0.89915,0.28296,0.43314,0.7938,0.00959065,0.00959065,0.00959065
39,28619.5,0.47259,0.83359,0.91098,0.95804,0.94729,0.97919,0.90036,0.28203,0.42948,0.7929,0.00955473,0.00955473,0.00955473
40,29342.1,0.46974,0.82212,0.91024,0.96053,0.94729,0.98001,0.90155,0.2805,0.4255,0.792,0.0095188,0.0095188,0.0095188
41,30070.9,0.46968,0.81962,0.90814,0.95693,0.95298,0.98091,0.90305,0.27926,0.42027,0.79084,0.00948287,0.00948287,0.00948287
42,30796,0.46809,0.80943,0.90866,0.95943,0.95336,0.98152,0.90427,0.27895,0.41605,0.79108,0.00944694,0.00944694,0.00944694
43,31527.9,0.46925,0.8157,0.90891,0.96068,0.9545,0.98209,0.90483,0.27846,0.41328,0.79092,0.00941101,0.00941101,0.00941101
44,32655.2,0.46621,0.81022,0.90612,0.9619,0.95356,0.98231,0.9056,0.27793,0.41257,0.7902,0.00937508,0.00937508,0.00937508
45,33965.6,0.46835,0.80538,0.9081,0.9639,0.95289,0.98257,0.90575,0.27745,0.41001,0.78938,0.00933916,0.00933916,0.00933916
46,35292.2,0.46702,0.8022,0.90611,0.96506,0.95262,0.98298,0.90672,0.2772,0.40722,0.78934,0.00930323,0.00930323,0.00930323
47,36567.6,0.4653,0.79429,0.90568,0.96311,0.95479,0.98301,0.90729,0.27674,0.40621,0.78886,0.0092673,0.0092673,0.0092673
48,37975.2,0.46309,0.7935,0.90544,0.96538,0.95352,0.98322,0.90788,0.27646,0.40442,0.78872,0.00923137,0.00923137,0.00923137
49,39263.4,0.46317,0.78776,0.90478,0.96673,0.95242,0.98352,0.90866,0.27578,0.40225,0.78838,0.00919544,0.00919544,0.00919544
