epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,511.226,0.85871,1.7117,0.77706,0.78807,0.80614,0.8265,0.71275,0.67818,0.99046,0.72393,0.00427835,0.00427835,0.00427835
2,1005.01,0.86392,1.12392,0.77349,0.80885,0.80201,0.84181,0.71629,0.71219,1.00527,0.73656,0.00855685,0.00855685,0.00855685
3,1499.99,0.90189,1.11795,0.78408,0.82901,0.81002,0.85857,0.73376,0.68706,0.9389,0.7344,0.00999604,0.00999604,0.00999604
4,1993.75,0.8472,0.99857,0.7767,0.86486,0.85545,0.89796,0.7897,0.60999,0.76655,0.71907,0.00999406,0.00999406,0.00999406
5,2472.16,0.79785,0.9035,0.76618,0.90128,0.87352,0.92333,0.81252,0.59178,0.67935,0.71595,0.00999208,0.00999208,0.00999208
6,2949.18,0.76687,0.84407,0.75869,0.89112,0.86103,0.91286,0.80934,0.57375,0.70314,0.71196,0.0099901,0.0099901,0.0099901
7,3424.21,0.74185,0.79436,0.75328,0.92385,0.89681,0.94692,0.84727,0.55333,0.60011,0.70564,0.00998812,0.00998812,0.00998812
8,3899.95,0.72419,0.7554,0.75004,0.91663,0.89703,0.94465,0.85255,0.53311,0.60492,0.70158,0.00998614,0.00998614,0.00998614
9,4378.75,0.70882,0.71608,0.74596,0.92268,0.91511,0.95408,0.86444,0.52284,0.55553,0.69881,0.00998416,0.00998416,0.00998416
10,4856.25,0.68634,0.67845,0.74092,0.94312,0.91895,0.963,0.8735,0.51144,0.51114,0.69732,0.00998218,0.00998218,0.00998218
11,5329.91,0.6769,0.66213,0.73874,0.9463,0.92597,0.9693,0.88501,0.49303,0.49235,0.6937,0.0099802,0.0099802,0.0099802
12,5806.08,0.66607,0.64052,0.73477,0.94842,0.93537,0.97106,0.8905,0.48762,0.4761,0.69162,0.00997822,0.00997822,0.00997822
13,6278.76,0.65868,0.624,0.73347,0.96256,0.93916,0.97633,0.89885,0.47241,0.44641,0.68924,0.00997624,0.00997624,0.00997624
14,6758.77,0.64801,0.61112,0.7302,0.9554,0.939,0.97502,0.89622,0.4711,0.45237,0.68859,0.00997426,0.00997426,0.00997426
15,7231.22,0.64409,0.59946,0.72981,0.96155,0.94622,0.97696,0.90037,0.4667,0.42775,0.68759,0.00997228,0.00997228,0.00997228
16,7707.07,0.63583,0.58417,0.7279,0.96745,0.95377,0.98272,0.90955,0.45518,0.4075,0.68504,0.0099703,0.0099703,0.0099703
17,8179.29,0.6304,0.57928,0.72809,0.96157,0.94933,0.97986,0.90655,0.45464,0.41851,0.68509,0.00996832,0.00996832,0.00996832
18,8658.54,0.62342,0.57137,0.72549,0.96963,0.95523,0.98441,0.91455,0.44453,0.38988,0.68214,0.00996634,0.00996634,0.00996634
19,9134.33,0.62023,0.55995,0.72586,0.97116,0.96026,0.98576,0.91563,0.44247,0.3808,0.68169,0.00996436,0.00996436,0.00996436
20,9614.49,0.61271,0.54993,0.7229,0.97282,0.96343,0.98616,0.91933,0.43512,0.36893,0.67953,0.00996238,0.00996238,0.00996238
21,10090.7,0.60774,0.54367,0.7217,0.97427,0.9591,0.98583,0.9194,0.43285,0.36886,0.67921,0.0099604,0.0099604,0.0099604
22,10574.4,0.60685,0.54158,0.72122,0.97745,0.9607,0.98673,0.92318,0.42457,0.36381,0.67749,0.00995842,0.00995842,0.00995842
