epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,730.772,2.32479,7.28724,2.74172,0.3478,0.31767,0.22214,0.12103,1.4758,3.78068,1.81574,0.000158575,0.000158575,0.000158575
2,1451.3,1.40576,4.02404,1.65387,0.43826,0.52887,0.50403,0.35104,1.021,2.56083,1.3361,0.000301655,0.000301655,0.000301655
3,2169.5,1.13344,2.95011,1.38052,0.60543,0.62365,0.62119,0.46235,0.82753,2.14505,1.18158,0.000410123,0.000410123,0.000410123
4,2884.44,0.99362,2.43889,1.24833,0.68703,0.66475,0.69104,0.53792,0.72737,1.8121,1.08277,0.000387684,0.000387684,0.000387684
5,3599.52,0.91167,2.1662,1.17423,0.71631,0.72043,0.72002,0.57043,0.68291,1.67329,1.05505,0.000365246,0.000365246,0.000365246
6,4313.31,0.85521,1.99623,1.12548,0.73365,0.70086,0.72824,0.58395,0.65355,1.61697,1.02798,0.000342807,0.000342807,0.000342807
7,5027.79,0.81331,1.86373,1.09226,0.69152,0.75505,0.75619,0.62195,0.60331,1.47203,0.98288,0.000320369,0.000320369,0.000320369
8,5742.17,0.77842,1.76475,1.06708,0.76505,0.75518,0.76788,0.64274,0.56526,1.39579,0.95508,0.00029793,0.00029793,0.00029793
9,6456.13,0.75572,1.69734,1.04827,0.77522,0.76318,0.77621,0.65318,0.54964,1.3877,0.9419,0.000275492,0.000275492,0.000275492
10,7171.35,0.73014,1.61701,1.02595,0.79935,0.778,0.79229,0.67338,0.53374,1.29511,0.92831,0.000253053,0.000253053,0.000253053
11,7867.32,0.6517,1.44429,1.00456,0.77398,0.77468,0.79566,0.67791,0.5258,1.28231,0.91995,0.000230614,0.000230614,0.000230614
12,8561.07,0.63193,1.3847,0.98607,0.80058,0.78728,0.81302,0.69674,0.51101,1.19331,0.90731,0.000208176,0.000208176,0.000208176
13,9254.83,0.61581,1.33876,0.9746,0.82807,0.78731,0.82084,0.70865,0.49942,1.17033,0.89866,0.000185737,0.000185737,0.000185737
14,9948.75,0.60085,1.28874,0.96247,0.80021,0.80739,0.83042,0.72188,0.48677,1.12941,0.89005,0.000163299,0.000163299,0.000163299
15,10642.8,0.58899,1.24624,0.95491,0.81408,0.81099,0.83873,0.73125,0.47976,1.09341,0.8851,0.00014086,0.00014086,0.00014086
16,11336.5,0.5773,1.20964,0.94613,0.82278,0.82067,0.84523,0.74068,0.4728,1.06056,0.87853,0.000118422,0.000118422,0.000118422
17,12032.5,0.5684,1.18422,0.93805,0.84353,0.81719,0.8467,0.74456,0.46484,1.03406,0.87171,9.59832e-05,9.59832e-05,9.59832e-05
18,12730.8,0.55763,1.15151,0.93016,0.85007,0.81783,0.85023,0.74964,0.4582,1.02325,0.86772,7.35446e-05,7.35446e-05,7.35446e-05
19,13429.6,0.5497,1.12977,0.92574,0.82633,0.83855,0.85724,0.75674,0.45609,0.99204,0.86547,5.11061e-05,5.11061e-05,5.11061e-05
20,14127.8,0.5418,1.10393,0.9204,0.84549,0.82528,0.85566,0.75597,0.45339,0.99545,0.86345,2.86675e-05,2.86675e-05,2.86675e-05
